mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA
2813670;ADONIS;MALE;Pequeno;4543672;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/a66b8e02-0b4c-456a-a7e3-15ff39546037.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;2024-11-24
4739343;Afrodite ;FEMALE;Pequeno;7274644;2024-09-29;1.0;https://s3.amazonaws.com/petz-cdm-stg/ac6affa0-179b-4ebf-82e4-861f2142cf0d.jpeg;Petz Vila Isabel;RIO DE JANEIRO;RJ;1;True;2024-11-24
2813671;AKILA;MALE;Pequeno;4543673;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/0dfd40a4-ae89-4391-89ff-24486767f362.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;2024-11-24
4740395;ALFREDO;MALE;Pequeno;7275967;2022-07-28;4.0;https://s3.amazonaws.com/petz-cdm-stg/6a49d6f4-27fe-4621-a614-d8c7e0b24fe7.jpeg;Petz Moinhos de Vento;PORTO ALEGRE;RS;27;False;2024-11-24
4689005;Alice;FEMALE;Pequeno;7205967;2023-10-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/74220ce2-c7c3-469d-bc12-c95a02afc8a2.jpeg;Petz Sorocaba;SOROCABA;SP;13;False;2024-11-24
4577155;Amelie;FEMALE;Pequeno;7062534;2024-01-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/4dc21b55-be56-4969-b56b-13bd9c9ef186.jpeg;Petz Salvador Bonocô;SALVADOR;BA;10;True;2024-11-24
4737844;amy;FEMALE;Pequeno;7272695;2024-09-01;1.0;https://s3.amazonaws.com/petz-cdm-stg/49a21b7c-858e-4d11-9bec-cceef81d0478.jpeg;Petz W3 Norte;BRASILIA;DF;2;True;2024-11-24
3209959;ANGÉLICA;FEMALE;Pequeno;5324140;2021-10-21;2.0;https://s3.amazonaws.com/petz-cdm-stg/032fde3a-607e-45bb-8f38-febcd7dce94d.jpeg;Petz Marginal Tiete;SAO PAULO;SP;37;False;2024-11-24
4734968;Aninha;FEMALE;Pequeno;7268637;2024-07-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/15702a6a-8d58-4b33-8945-45a1f072a3dc.jpeg;Petz Limão;SAO PAULO;SP;4;True;2024-11-24
4605351;Anne;FEMALE;Pequeno;7099304;2024-03-29;1.0;https://s3.amazonaws.com/petz-cdm-stg/a082410b-954f-44e0-a134-bd78cfb2f524.jpeg;Petz Washington Soares;FORTALEZA;CE;7;True;2024-11-24
3918377;Apollo;MALE;Pequeno;6334125;2022-02-01;0.4;https://s3.amazonaws.com/petz-cdm-stg/4b7d809d-8c80-4ff7-b7e3-03d1ad2bdb41.jpeg;Petz Diadema;DIADEMA;SP;33;False;2024-11-24
4739375;Apolo;MALE;Pequeno;7274668;2024-08-15;1.0;https://s3.amazonaws.com/petz-cdm-stg/da58f0a8-0692-4f10-bd84-d6d35998c295.jpeg;Petz Vila Isabel;RIO DE JANEIRO;RJ;3;True;2024-11-24
4713501;Ariel;MALE;Pequeno;7239293;2024-05-05;4.0;https://s3.amazonaws.com/petz-cdm-stg/a22f1fc9-a6a8-4a7c-9306-6d1251d82ba3.jpeg;Petz Aracaju;ARACAJU;SE;6;True;2024-11-24
