mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA
2813670;ADONIS;MALE;Pequeno;4543672;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/bcc13b3c-54e3-4208-a43b-8d64a3ba23bd.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;;7
4661953;AGNES;FEMALE;Pequeno;7171114;2024-01-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/c2cdb4f5-4acf-4c7e-a85b-7f01219dc748.jpeg;Petz Marginal Tiete;SAO PAULO;SP;9;True;;1
2813671;AKILA;MALE;Pequeno;4543673;2021-03-26;0.0;https://s3.amazonaws.com/petz-cdm-stg/d8d04dbb-0311-45b4-a967-bd37848722e7.jpeg;Petz Washington Soares;FORTALEZA;CE;43;False;;7
4551283;ALANA;FEMALE;Pequeno;7030583;2023-06-04;4.0;https://s3.amazonaws.com/petz-cdm-stg/c37734e3-df0b-4718-951b-8a1242f4bcd3.jpeg;Petz Marginal Tiete;SAO PAULO;SP;17;False;;6
4673231;Algodão;MALE;Pequeno;7185882;2023-09-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/91dee215-e24a-4fe7-99d6-8e95518f282b.jpeg;Petz Piracicaba;PIRACICABA;SP;13;False;;4
4544954;ALPHA;MALE;Pequeno;7022645;2023-12-12;2.0;https://s3.amazonaws.com/petz-cdm-stg/8df76b16-3c56-4afc-99c2-ef4d213965e8.jpeg;Petz Hortolandia;HORTOLANDIA;SP;10;True;;1
4613592;AMABILE;FEMALE;Pequeno;7110065;2023-07-03;4.0;https://s3.amazonaws.com/petz-cdm-stg/6b81ae8f-3bdd-4ebc-9d00-26943f56a95a.jpeg;Petz Aricanduva;SAO PAULO;SP;16;False;;6
4676246;Amapá;FEMALE;Pequeno;7189671;2020-09-06;3.0;https://s3.amazonaws.com/petz-cdm-stg/1355982d-beca-4ea5-a130-bf22d66382a8.jpeg;Petz Cerro Cora;SAO PAULO;SP;49;False;;4
4577155;Amelie;FEMALE;Pequeno;7062534;2024-01-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/fda2108c-ea49-48ce-b59c-d1ec5b884aab.jpeg;Petz Salvador Bonocô;SALVADOR;BA;10;True;;6
3209959;ANGÉLICA;FEMALE;Pequeno;5324140;2021-10-21;2.0;https://s3.amazonaws.com/petz-cdm-stg/ba3ebcea-53db-4cae-bfa5-ab1188164f1c.jpeg;Petz Aricanduva;SAO PAULO;SP;36;False;;4
4618488;ANGELITA;FEMALE;Pequeno;7115928;2023-06-04;4.0;https://s3.amazonaws.com/petz-cdm-stg/d8d49aaa-a87a-4688-96e0-c3cc52e6ec71.jpeg;Petz Aricanduva;SAO PAULO;SP;17;False;;1
4683341;Ani;FEMALE;Pequeno;7198962;2023-09-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/c916759c-eee1-45e6-9dd6-a48f65e262ad.jpeg;Petz Radial Leste;SAO PAULO;SP;13;False;;4
3918377;Apollo;MALE;Pequeno;6334125;2022-02-01;0.4;https://s3.amazonaws.com/petz-cdm-stg/4b7d809d-8c80-4ff7-b7e3-03d1ad2bdb41.jpeg;Petz Diadema;DIADEMA;SP;33;False;;9
4236435;Ariel;FEMALE;Pequeno;6617101;2023-04-10;1.0;https://s3.amazonaws.com/petz-cdm-stg/917cb217-1033-443b-a3df-f34939496117.jpeg;Petz Extra Maracanã;RIO DE JANEIRO;RJ;18;False;;1
4661991;AYSHA;FEMALE;Pequeno;7171162;2024-01-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/c133c4f1-ef6d-4500-9811-b91ab6ca0d8c.jpeg;Petz Marginal Tiete;SAO PAULO;SP;9;True;;3
4524314;Batgirl;FEMALE;Pequeno;6996960;2022-11-15;3.0;https://s3.amazonaws.com/petz-cdm-stg/288cd0bf-c186-41b6-9833-6a05daf43c35.jpeg;Petz Aldeota;FORTALEZA;CE;23;False;;9
2671715;BATMAN;MALE;Pequeno;4425599;2018-02-02;0.0;https://s3.amazonaws.com/petz-cdm-stg/e85edad3-a324-491e-9e2d-54cbfeae647b.jpeg;Petz Avenida das Americas;RIO DE JANEIRO;RJ;81;False;;4
